⺁	{⺁} px
𪢭	囗並 kb
𪢮	囗栾 kl
𪢲	土又 ty
𪢴	土土 tt
𪢵	土凡 tf
𪢸	土无 tw
𪢹	土冂 tk
𪢺	土攴 tp
𪢻	土月 to
𪢼	土化 th
𪢽	土丰 tf
𪢾	火土 ht｜土火 th
𪢿	土水 tu
𪣀	土巴 tb
𪣁	土允 ty
𪣂	土孔 tk
𪣃	土丙 tb
𪣄	土干 tg
𪣆	土东 td
𪣇	土乏 tf
𪣈	土口 tk
𪣉	土永 ty
𪣊	土必 tb
𪣋	土存 tc
𪣌	土耳 te
𪣍	土乃 tn
𪣎	土朱 tv
𪣏	土州 tv
𪣐	土庄 tv
𪣑	土农 tn
𪣒	土军 tj
𪣓	土七 tq
𪣔	土吾 tw
𪣕	土克 tk
𪣖	木土 mt｜. ty
𪣗	土辰 ti｜辰土 it
𪣘	土吴 tw
𪣙	. ty
𪣚	土女 tn
𪣛	土利 tl
𪣜	土秀 tx
𪣝	土皂 tz
𪣞	土七 tq
𪣟	土罕 th
𪣠	土吝 tl
𪣣	土君 tj
𪣤	土昔 tx
𪣥	土武 tw
𪣦	土明 tm
𪣧	土昌 ti
𪣩	土肯 tk
𪣪	月土 ot｜土升 tu
𪣫	土刻 tk
𪣬	土官 tg
𪣭	波土 bt｜土波 tb
𪣮	土泥 tn
𪣯	土宜 ty
𪣲	土苗 tm
𪣳	土寸 tc
𪣴	土政 tv
𪣵	土背 tb
𪣹	土亭 tt
𪣺	土恰 tq
𪣻	土娄 tl
𪣾	土能 tn
𪣿	土升 tu｜耳土 et
𪤀	土月 to｜臣土 it
𪤂	土皿 tm
𪤃	土晏 ty
𪤅	土党 td
𪤆	土扇 tu
𪤇	土倉 tc
𪤈	般土 bt｜土般 tb
𪤉	土水 tu
𪤊	浪土 lt｜土浪 tl
𪤌	土桑 ts
𪤎	土連 tl
𪤏	土基 tj
𪤑	土國 tg
𪤒	土盒 th
𪤖	土將 tj
𪤗	. tl
𪤙	土火 th
𪤚	土联 tl
𪤛	土毳 tc
𪤜	訪丶 fd｜土丶 td
𪤝	土陽 ty｜陽土 yt
𪤟	土方 tf｜南土 nt
𪤡	土豆 td
𪤢	土木 tm
𪤥	土意 ty
𪤦	土氺 tu
𪤧	土與 ty
𪤨	土鼻 tb
𪤩	土夐 tx
𪤪	土齊 tq
𪤫	土又 ty
𪤬	磊土 lt｜土磊 tl
𪤭	土齒 ti
𪤮	土寮 tl
𪤯	土羊 ty
𪤰	土霖 tl
𪤱	廿䒑 cq
𪤳	士寸 uc
𪤴	壹益 yy
𪤶	正夂 vw｜夂儿 we
𪤷	夕巾 xj
𪤹	夕米 xm
𪤼	夕郎 xl
𪥀	廪多 ld
𪥂	大刀 dd
𪥃	夫丁 fd
𪥄	大木 dm｜木大 md
𪥅	大戈 dg
𪥇	丙大 bd｜大丙 db
𪥈	大平 dp
𪥊	大未 dw｜未大 wd
𪥌	大人 dr
𪥍	大电 dd
𪥎	大匡 dk｜匡大 kd
𪥐	人市 ru
𪥒	吹大 id｜大吹 di
𪥕	大屈 dq
𪥖	大巨 dj｜日大 od
𪥗	大前 dq｜前大 qd
𪥚	大兄 dx
𪥛	大电 dd｜立大 ld
𪥝	大動 dd
𪥟	大重 dv｜土大 td
𪥠	赑大 bd｜大赑 db
𪥡	大隊 dd
𪥢	火大 hd｜大火 dh
𪥥	女亅 na
𪥦	女互 nh
𪥧	女止 nv
𪥨	女日 no
𪥩	女攴 np
𪥪	女几 nj
𪥫	女双 nu
𪥬	女允 ny
𪥭	女丁 nd
𪥰	女宁 nn
𪥱	女贝 nb
𪥲	女丶 nd
𪥳	女吊 nd
𪥴	女自 nz｜自女 zn
𪥵	女羽 ny
𪥶	女邦 nb
𪥸	勿好 wh
𪥹	女彡 np
𪥺	女功 ng｜力女 ln
𪥼	女妻 nq
𪥽	女長 ni
𪥾	女亅 na
𪥿	女卖 nm
𪦀	女芳 nf
𪦂	女大 nd
𪦃	女店 nd
𪦄	女虫 ni
𪦅	女囟 nx
𪦆	女之 nv
𪦇	女封 nf
𪦈	女女 nn
𪦉	女久 nj
𪦋	女段 nd
𪦌	女姿 nz
𪦑	臣女 in｜女斤 nj
𪦒	女虔 nq
𪦔	女倉 nc
𪦕	女爹 nd
𪦖	女木 nm
𪦗	女女 nn
𪦙	女莪 ne
𪦛	女天 nt
𪦞	女習 nx
𪦟	好於 hy
𪦠	馭女 yn｜女馭 ny
𪦢	女金 nj
𪦤	女絲 ns
𪦥	女絲 ns｜絲女 sn
𪦧	女月 no
𪦨	女蜀 nu
𪦩	女攵 nw
𪦪	女粤 ny
𪦫	女閣 ng
𪦬	女賢 nx
𪦯	女瑩 ny
𪦱	女螢 ny
𪦳	女爾 ne
𪦵	女真 nv｜真女 vn
𪦶	子支 zv
𪦸	子六 zl
𪦹	子文 zw
𪦻	子合 zh｜合子 hz
𪦿	子食 zu
𪧀	子婴 zy
𪧁	子置 zv
𪧂	臣子 iz｜子罒 zs
𪧅	宀山 bu
𪧆	宀尺 bi
𪧇	宀爿 bp
𪧈	宀田 bt
𪧊	宀扣 bk
𪧌	宀木 bm
𪧎	宀足 bz
𪧐	宀伯 bb
𪧑	宀丶 bd
𪧒	宀各 bg
𪧓	宀泊 bp
𪧔	宀力 bl
𪧕	宀缶 bf
𪧘	宀娄 bl
𪧚	字守 zu
𪧛	宀小 bx
𪧜	宀敖 ba
𪧝	宀火 bh
𪧟	宓用 my
𪧠	宓且 mq
𪧣	宀水 bu
𪧤	宀攵 bw
𪧥	宀缶 bf
𪧦	宀氺 bu
𪧧	宀至 bv
𪧩	宀女 bn
𪧫	宀馬 bm
𪧬	宀缶 bf
𪧭	宀新 bx
𪧮	宀戈 bg
𪧯	宀算 bs
𪧰	富有 fy
𪧳	宀厘 bl
𪧶	宀間 bj
𪧷	寸夕 cx｜夕寸 xc
𪧹	寸合 ch｜冫寸 dc
𪧽	. cy｜不寸 bc
𪧿	内小 nx｜小内 xn
𪨂	小业 xy｜亠小 wx
𪨇	兀贵 wg
𪨉	尸山 uu
𪨊	尸从 uc
𪨋	尸土 ut
𪨌	尸七 uq
𪨍	尸殳 uu
𪨏	尸步 ub
𪨕	尾出 wi
𪨗	尸乔 uq
𪨘	尸口 uk
𪨙	尾坐 wz
𪨟	尾普 wp
𪨡	尸足 uz
𪨢	山下 ux
𪨣	山乞 uq
𪨤	山小 ux｜小山 xu
𪨦	山气 uq
𪨧	山仑 ul
𪨩	山轧 uy
𪨪	山册 uc
𪨫	山卯 um
𪨭	山弘 uh
𪨯	山成 ui｜成山 iu
𪨰	山曲 uq
𪨱	山兆 uv
𪨲	山缶 uf
𪨳	山行 ux
𪨵	山技 uj｜技山 ju
𪨶	山车 ui
𪨷	山严 uy
𪨸	山吹 ui
𪨹	山呙 ug
𪨺	山冷 ul
𪨻	山皿 um
𪨼	山奈 un
𪨽	. uy
𪨾	山受 uu
𪨿	山电 ud
𪩀	山乎 uh
𪩂	山南 un
𪩃	山是 uu
𪩅	山皇 uh
𪩇	山娄 ul
𪩈	山禾 uh
𪩉	山寸 uc
𪩋	山粉 uf
𪩌	山頃 uq
𪩎	山婴 uy
𪩏	山鹿 ul
𪩓	山華 uh
𪩖	山孱 uc
𪩗	山斤 uj
𪩘	山献 ux
𪩚	山會 uh
𪩛	山齿 ui
𪩝	山取 uq
𪩞	山錢 uq
𪩟	山齕 uh
𪩠	山麗 ul
𪩢	𠂉川 ri
𪩤	巨列 jl
𪩦	巨林 jl
𪩫	人己 rj
𪩰	曲己 qj
𪩱	巴阑 bl
𪩲	十丿 up
𪩳	巾吾 jw
𪩴	巾門 jm
𪩷	巾单 jd
𪩸	巾贲 jb
𪩹	巾拜 jb
𪩻	巾宿 js
𪩾	业甫 yf｜巾甫 jf
𪩿	巾曇 jt
𪪀	師柴 ui
𪪂	干早 gz｜十干 ug
𪪃	并丙 bb
𪪊	幺勺 yu
𪪋	幺才 yc
𪪌	广冂 gk
𪪎	广正 gv
𪪏	广卢 gl
𪪐	虍文 hw
𪪑	广乔 gq
𪪒	广君 gj
𪪓	广否 gf
𪪔	广巴 gb
𪪕	广人 gr
𪪗	广即 gj
𪪘	广巴 gb
𪪙	广昊 gh
𪪚	广口 gk
𪪛	广虐 gn
𪪜	广夊 gw
𪪝	广邕 gy
𪪞	广啬 gs
𪪠	府衣 fy
𪪡	广八 gb
𪪢	广間 gj
𪪤	麻旦 md
𪪥	广貝 gb
𪪦	广鳥 gn
𪪧	广疑 gy
𪪨	广米 gm
𪪬	廴于 zy
𪪭	廴平 zp
𪪮	廴田 zt
𪪯	廴工 zg
𪪰	廴西 zx
𪪱	廴皇 zh
𪪲	廴王 zw
𪪴	廾𰀁 cf｜又廾 yc
𪪵	廾求 cq｜求廾 qc
𪪶	廾帝 cd｜帝廾 dc
𪪷	廾粉 cf｜粉廾 fc
𪪸	廾辰 ci｜臼廾 jc
𪪹	冖廾 bc｜廾爵 cj
𪪺	弓口 gk
𪪼	弓毕 gb
𪪽	弓血 gx
𪫁	弓冉 gr
𪫂	弓寅 gy
𪫃	弟員 dy
𪫅	弓魚 gy
𪫆	氵𫜹 dx
𪫇	彑頁 jy
𪫈	彡人 pr｜十彡 up
𪫉	日彡 op｜彡早 pz
𪫊	形俸 xf
𪫋	彳文 xw
𪫌	彳龙 xl
𪫍	彳志 xv
𪫎	彳攵 xw
𪫐	彳兔 xt
𪫑	彳畏 xw
𪫔	彳魚 xy
𪫕	彳攵 xw
𪫖	彳專 xv
𪫗	彳乍 xv
𪫘	彳足 xz
𪫙	彳幸 xx
𪫜	彳攵 xw
𪫝	. xy
𪫞	忄土 xt
𪫟	忄木 xm
𪫠	心比 xb｜比心 bx
𪫡	忄历 xl
𪫤	心允 xy
𪫥	丨心 ax｜心弓 xg
𪫦	心左 xz
𪫧	心可 xk
𪫨	忄久 xj
𪫩	心目 xo｜目心 ox
𪫪	忄口 xk
𪫫	心仞 xr｜仞心 rx
𪫬	忄主 xv
𪫭	心考 xk
𪫮	心百 xb
𪫯	忄火 xh
𪫰	吕心 lx｜心吕 xl
𪫱	心份 xf｜份心 fx
𪫲	忄安 xa
𪫳	心衣 xy｜衣心 yx
𪫴	女心 nx｜心巳 xs
𪫶	念亅 na｜心亅 xa
𪫷	寿心 ux｜心寿 xu
𪫸	心却 xq
𪫹	忄谷 xg
𪫺	忄佥 xq
𪫻	忄完 xw
𪫼	对心 dx｜心对 xd
𪫾	女心 nx｜心手 xu
𪫿	忄芝 xv
𪬀	. xy
𪬂	心祀 xs｜祀心 sx
𪬃	心宜 xy
𪬄	心卜 xb｜. bx
𪬇	丰必 fb
𪬈	束心 ux｜心力 xl
𪬊	心勿 xw｜目心 ox
𪬋	咼心 gx｜心咼 xg
𪬌	忄皿 xm
𪬍	心占 xv｜忄心 xx
𪬐	首心 ux｜心首 xu
𪬑	忄千 xq
𪬒	心攵 xw｜巳心 sx
𪬓	木心 mx｜心亍 xi
𪬖	心閃 xu
𪬗	. xy
𪬘	心益 xy
𪬚	忄宾 xb
𪬞	心止 xv
𪬟	心彬 xb｜彬心 bx
𪬠	忄莒 xj
𪬥	商心 ux｜心商 xu
𪬨	心量 xl
𪬩	員心 yx｜心力 xl
𪬬	浦心 px｜心人 xr
𪬯	赖心 lx｜心赖 xl
𪬰	心觜 xz
𪬱	忄圓 xy
𪬲	忿恨 fh
𪬴	心新 xx
𪬶	忄每 xm
𪬷	忄土 xt
𪬸	心八 xb
𪬹	忄虫 xi
𪬻	心戊 xw
𪬽	急倍 jb
𪬾	心阝 xe
𪭁	壹心 yx｜心尔 xe
𪭂	心有 xy｜章心 vx
𪭃	忄皿 xm
𪭅	革心 gx｜心貢 xg
𪭈	忄隹 xv
𪭊	戈力 gl
𪭋	戈子 gz
𪭌	戈皿 gm
𪭍	戈共 gg
𪭎	戈田 gt
𪭏	戊女 wn
𪭑	戈目 go
𪭓	戈皿 gm｜目戈 og
𪭔	頁戔 yj
𪭗	戈手 gu｜糸我 sw
𪭙	户口 hk
𪭛	户早 hz
𪭜	扌夕 fx
𪭝	扌韦 fw
𪭞	扌幺 fy
𪭟	扌午 fw
𪭠	扌人 fr
𪭢	扌从 fc
𪭤	扌正 fv
𪭥	扌左 fz
𪭦	扌勹 fg
𪭧	扌尔 fe
𪭨	扌矢 fu
𪭪	扌册 fc
𪭬	扌巾 fj
𪭭	扌氏 fu
𪭯	扌会 fh
𪭰	扌羊 fy
𪭲	扌丰 ff
𪭳	手艮 ug
𪭴	扌走 fz
𪭵	扌两 fl
𪭶	扌串 fi
𪭷	扌呆 fd
𪭹	扌包 fb
𪭺	扌寸 fc
𪭻	扌正 fv
𪭼	扌利 fl
𪭾	扌月 fo
𪭿	扌壯 fv
𪮁	扌刺 fc
𪮂	抨阝 pe
𪮃	手斩 uv｜斩手 vu
𪮄	扌女 fn
𪮅	扌条 ft
𪮆	扌土 ft
𪮉	扌丰 ff
𪮋	扌肃 fs
𪮌	扌刂 fd
𪮍	手某 um
𪮎	扌玄 fx
𪮐	扌品 fp
𪮑	扌看 fk
𪮒	手看 uk
𪮓	扌卉 fh
𪮔	扌洛 fl
𪮕	扌飛 ff
𪮖	扌绝 fj
𪮗	扌示 fu
𪮘	扌峯 ff
𪮙	扌共 fg
𪮜	. fy
𪮝	扌皿 fm
𪮞	扌秩 fv
𪮟	扌爹 fd
𪮠	扌恋 fl
𪮡	扌朗 fl
𪮤	扌崩 fb
𪮥	扌船 fi
𪮦	扌得 fd
𪮧	扌庸 fy
𪮪	扌雨 fy
𪮫	扌攵 fw
𪮬	扌喜 fx
𪮮	扌戈 fg
𪮰	扌悶 fm
𪮱	扌象 fx
𪮲	扌羡 fx
𪮳	扌蛮 fm
𪮵	扌共 fg
𪮶	扌赖 fl
𪮹	扌奉 ff
𪮺	扌盡 fj
𪮼	扌灬 fh
𪮽	手質 uv
𪮾	扌木 fm
𪮿	扌慶 fq
𪯀	扌駕 fj
𪯁	扌萬 fw
𪯂	扌應 fy
𪯃	扌養 fy
𪯄	扌勸 fq
𪯅	支大 vd｜火支 hv
𪯇	支至 vv｜罒支 sv
𪯈	夫攵 fw
𪯉	攴生 pu｜生攴 up
𪯋	夹攴 jp｜攴夹 pj
𪯌	丿攵 pw
𪯍	更攵 gw
𪯎	幸攵 xw
𪯏	忽攵 hw
𪯐	帝攵 dw
𪯑	素攵 sw
𪯓	曹攵 cw
𪯔	商攵 uw
𪯖	羽攵 yw
𪯘	丆攵 aw
𪯙	啻攵 iw
𪯜	亠攵 ww
𪯠	文川 wi
𪯡	中文 vw｜文中 wv
𪯢	文文 ww
𪯣	文四 ws
𪯤	文合 wh
𪯥	王文 ww
𪯨	产初 ii
𪯪	文高 wg
𪯬	后斗 hd｜斗后 dh
𪯮	口斗 kd｜斗回 dh
𪯱	斤攵 jw
𪯲	方斤 fj
𪯴	方占 fv
𪯵	方匡 fk｜匡方 kf
𪯷	方羊 fy
𪯹	方長 fi
𪯻	方定 fd
𪯿	方入 fr
𪰁	方廾 fc
𪰄	方虹 fh
𪰅	方耳 fe
𪰆	日工 og
𪰇	日亅 oa
𪰈	日元 oy
𪰉	日井 oj
𪰊	日止 ov
𪰋	日攵 ow
𪰌	日毛 om
𪰍	日斗 od
𪰎	文日 wo｜日文 ow
𪰏	日可 ok
𪰐	日本 ob
𪰑	日玉 oy
𪰒	日石 ou
𪰓	日平 op
𪰔	日央 oy
𪰕	日矢 ou
𪰖	日矢 ou
𪰗	日必 ob
𪰘	日加 oj
𪰙	日吉 oj
𪰚	日老 ol
𪰜	日式 ou
𪰞	日二 oe
𪰟	日年 on
𪰡	日全 oq
𪰢	日州 ov
𪰣	日羽 oy
𪰥	. oy
𪰦	日坐 oz
𪰧	日宏 oh
𪰩	日弓 og
𪰪	日來 ol
𪰫	日奔 ob
𪰭	日争 ov
𪰯	是友 uy
𪰱	日政 ov
𪰴	日段 od
𪰵	日勇 oy
𪰶	日费 of
𪰷	日建 oj
𪰸	日素 os
𪰻	日倉 oc
𪰼	日唐 ot
𪰾	是旨 uv
𪱀	日累 ol
𪱄	日寅 oy
𪱇	日惠 oh
𪱈	晶日 jo｜日晶 oj
𪱉	日萊 ol
𪱋	日善 ou
𪱌	日勞 ol
𪱍	日意 oy
𪱏	日夐 ox
𪱐	音省 yu
𪱒	日襄 ox
𪱖	日夬 og
𪱗	曾今 cj
𪱙	月又 oy
𪱛	月尹 oy｜尹月 yo
𪱝	了月 lo｜月丶 od
𪱞	戈月 go｜月二 oe
𪱠	月又 oy
𪱢	月刂 od｜胙刂 zd
𪱥	月贲 ob
𪱦	月皇 oh
𪱧	月亮 ol
𪱨	月电 od
𪱩	月离 ol
𪱪	月火 oh
𪱫	月匕 ob｜丿月 po
𪱭	月米 om
𪱮	望貢 wg
𪱯	月电 od｜望电 wd
𪱰	有廛 yi
𪱲	木上 mu
𪱳	木口 mk
𪱴	木女 mn
𪱶	井木 jm｜木井 mj
𪱷	木贝 mb
𪱸	木丶 md
𪱹	木水 mu
𪱺	木左 mz
𪱻	木本 mb
𪱼	未今 wj
𪱽	木用 my
𪱾	木尔 me
𪱿	木子 mz
𪲀	木丘 mq
𪲁	冫木 dm｜木夕 mx
𪲃	木三 ms
𪲄	木灰 mh
𪲅	未平 wp
𪲇	木曲 mq
𪲈	木目 mo｜丨相 ax
𪲉	木后 mh
𪲊	木凡 mf
𪲋	木二 me
𪲌	木丹 md
𪲎	木齐 mq
𪲏	木夊 mw
𪲐	木阝 me
𪲑	木阝 me｜王木 wm
𪲒	木赤 mi
𪲓	木豆 md
𪲔	木丽 ml
𪲕	十令 ul
𪲖	木呆 md
𪲗	木火 mh
𪲘	木我 mw
𪲙	木土 mt
𪲚	木月 mo
𪲛	木米 mm
𪲜	冷木 lm｜木冷 ml
𪲝	木床 mi
𪲞	木羌 mq
𪲟	木幸 mx
𪲠	木丶 md｜王木 wm
𪲡	林云 ly
𪲢	木祀 ms
𪲥	束令 ul
𪲧	木卜 mb
𪲨	木忽 mh
𪲩	木旦 md
𪲪	木回 mh｜亠木 wm
𪲫	木刂 md｜. bm
𪲮	木废 mf
𪲯	木月 mo
𪲲	木邑 my
𪲳	木柿 mu｜柿木 um
𪲴	木木 mm｜木右 my
𪲵	林出 li
𪲷	木木 mm
𪲸	十束 uu
𪲺	木昴 mm
𪲻	木拜 mb
𪲽	杀折 uv
𪲿	关束 gu
𪳀	木音 my
𪳁	木度 md
𪳃	木几 mj
𪳄	木亮 ml
𪳅	木洛 ml
𪳆	木勇 my
𪳇	木迦 mj
𪳈	木巩 mg｜王木 wm
𪳋	朽念 xn
𪳍	木聂 mn
𪳏	木方 mf
𪳐	目木 om｜木目 mo
𪳑	木米 mm
𪳕	木乘 mi
𪳖	木逄 mp
𪳗	木爱 ma
𪳙	准木 vm｜木准 mv
𪳚	木東 md
𪳛	木書 mu
𪳜	木烝 mv
𪳝	木灬 mh
𪳞	木教 mj
𪳟	林免 lm
𪳠	木白 mb
𪳡	木此 mc
𪳣	木咼 mg
𪳤	木造 mz
𪳥	木日 mo
𪳦	木白 mb
𪳩	木見 mj
𪳪	木婆 mp
𪳬	木雨 my
𪳭	夫東 fd
𪳮	木壹 my
𪳯	林土 lt｜木土 mt
𪳰	木果 mg
𪳲	木智 mv
𪳴	机罢 jb
𪳶	木寒 mh
𪳷	湯木 tm｜木湯 mt
𪳸	木土 mt
𪳺	木賀 mh
𪳽	林厙 lu
𪳾	木載 mz
𪳿	果度 gd
𪴀	木豆 md
𪴂	木方 mf
𪴃	木奥 ma
𪴆	木慈 mc
𪴈	楙木 mm
𪴊	木豆 md
𪴋	杏區 xq
𪴌	木管 mg
𪴍	熇木 hm｜木熇 mh
𪴒	木瓜 mg
𪴔	木寮 ml
𪴕	木層 mc
𪴖	木霖 ml
𪴗	木冀 mj
𪴘	木曇 mt
𪴙	木赞 mz
𪴛	木隸 ml
𪴜	木霜 mu
𪴝	木刂 md｜櫓刂 ld
𪴟	木务 mw
𪴢	木足 mz
𪴣	榕頁 ry
𪴤	木覺 mj
𪴦	木寸 mc
𪴧	木闌 ml
𪴨	業業 yy
𪴩	方欠 fq｜欠方 qf
𪴪	厂欠 iq｜欠干 qg
𪴫	欠二 qe｜尸欠 uq
𪴬	匕欠 bq｜欠生 qu
𪴭	白欠 bq｜欠又 qy
𪴮	欠昔 qx｜昔欠 xq
𪴯	欠显 qx｜显欠 xq
𪴰	若欠 rq｜欠若 qr
𪴱	翁欠 wq｜欠翁 qw
𪴳	艹欠 cq｜欠又 qy
𪴴	羔欠 gq｜欠鬯 qi
𪴵	止勿 vw｜勿止 wv
𪴶	止亘 vg
𪴷	止甬 vy
𪴸	止必 vb
𪴼	止臣 vi
𪴾	詈止 lv｜止詈 vl
𪴿	止與 vy｜與止 yv
𪵂	歹凶 dx
𪵃	歹夕 dx
𪵄	歹見 dj
𪵅	歹侖 dl
𪵆	歹真 dv
𪵇	歹赖 dl
𪵈	夸殳 ku｜殳夸 uk
𪵉	口殳 ku｜殳土 ut
𪵊	匕攵 bw
𪵋	殳孝 ux｜孝殳 xu
𪵍	命殳 mu｜殳命 um
𪵎	厶殳 su｜殳耳 ue
𪵏	殳彦 uy｜彦殳 yu
𪵐	甫殳 fu｜殳方 uf
𪵑	殳乔 uq
𪵓	殳黑 uh｜屋殳 wu
𪵔	每京 mj
𪵕	比島 bd
𪵗	毛月 mo
𪵘	毛火 mh
𪵙	毛句 mj
𪵛	毛耒 ml
𪵜	毛关 mg
𪵝	林毛 lm｜毛林 ml
𪵞	毛隶 ml
𪵢	毛賓 mb
𪵣	气云 qy｜云气 yq
𪵧	气敖 qa
𪵨	厶水 su｜水厶 us
𪵩	氵下 dx
𪵪	水大 ud｜大水 du
𪵫	氵弋 dy
𪵬	氵几 dj
𪵮	水斤 uj
𪵰	氵引 dy
𪵱	氵厉 dl
𪵲	氵凹 da
𪵳	氵矢 du
𪵴	氵巾 dj
𪵵	永月 yo
𪵶	氵力 dl
𪵷	氵二 de
𪵹	氵邛 dq
𪵺	氵㐅 di
𪵻	氵囚 dq
𪵼	水色 us
𪵽	氵双 du
𪵾	氵杏 dx
𪵿	丁泉 dq
𪶀	氵男 dn
𪶁	氵王 dw
𪶂	水見 uj
𪶄	氵时 du
𪶅	氵佘 du
𪶆	氵狄 dd
𪶈	氵米 dm
𪶊	氵对 dd
𪶋	氵妙 dm
𪶌	氵到 dd
𪶐	氵岸 da
𪶑	氵必 db
𪶒	氵罗 dl
𪶓	氵大 dd
𪶔	氵佳 dj
𪶕	氵米 dm
𪶗	氵干 dg
𪶘	氵耶 dy
𪶙	氵奎 dk
𪶛	水相 ux｜相水 xu
𪶜	氵拼 dp
𪶞	氵舌 du
𪶠	氵俊 dj
𪶡	氵羽 dy
𪶢	氵余 dy
𪶤	氵夫 df
𪶦	氵哀 da
𪶧	氵孪 dl
𪶨	氵怒 dn
𪶪	氵配 dp
𪶫	氵隹 dv
𪶬	氵匪 df
𪶭	氵烈 dl
𪶮	氵恶 de
𪶯	氵百 db
𪶰	镸水 iu｜水彡 up
𪶱	氵辛 dx
𪶲	氵茵 dy
𪶳	氵丶 dd
𪶴	氵日 do
𪶶	氵座 dz
𪶷	氵儿 de
𪶸	氵紊 dw
𪶹	氵庭 dt
𪶺	氵文 dw
𪶻	氵月 do
𪶼	沙吉 uj
𪶽	氵桑 ds
𪶿	氵欠 dq
𪷀	氵斤 dj
𪷁	氵攵 dw
𪷂	莫水 mu｜水莫 um
𪷃	氵見 dj
𪷄	氵脱 dt
𪷅	氵炎 dy
𪷆	氵六 dl
𪷇	氵剪 dj
𪷈	氵貫 dg
𪷋	氵午 dw
𪷍	氵靓 dj
𪷏	氵厨 di
𪷐	氵雅 dy
𪷑	氵量 dl
𪷒	氵萄 dt
𪷕	氵斐 df
𪷖	氵然 dr
𪷙	氵金 dj
𪷚	氵窜 dc
𪷜	氵絲 ds
𪷝	氵鹿 dl
𪷞	氵皿 dm
𪷟	氵豕 du
𪷠	氵爰 dy
𪷣	水辛 ux
𪷤	氵禀 db
𪷧	氵群 dq
𪷨	氵心 dx
𪷫	氵氺 du
𪷬	氵緊 dj
𪷭	氵閨 dg
𪷯	氵粽 dz
𪷱	氵赛 ds
𪷳	氵霈 dp
𪷵	氵蔭 dy
𪷷	氵寮 dl
𪷸	氵慶 dq
𪷺	氵蕙 dh
𪷻	氵錢 dq
𪷼	氵錡 dq
𪷽	氵赞 dz
𪸀	氵霞 dx
𪸃	氵氣 dq
𪸅	氵系 dx
𪸇	瀌土 bt
𪸈	氵疇 di
𪸋	氵騫 dq
𪸍	火乙 hy｜乙火 yh
𪸎	火几 hj
𪸏	火乞 hq
𪸐	火刃 hr
𪸑	火元 hy
𪸒	火互 hh
𪸓	无灬 wh
𪸔	火止 hv
𪸕	火气 hq
𪸖	火人 hr
𪸗	火允 hy
𪸘	火去 hq
𪸙	火未 hw
𪸛	火玉 hy
𪸜	火囚 hq
𪸞	火尔 he
𪸠	火永 hy
𪸡	火弘 hh
𪸣	早灬 zh
𪸤	火成 hi
𪸥	火耳 he
𪸦	老灬 lh
𪸩	火军 hj
𪸪	火羽 hy
𪸫	火更 hg
𪸬	火口 hk
𪸭	火貝 hb
𪸮	火大 hd
𪸯	火妥 ht
𪸰	火回 hh
𪸱	火丶 hd
𪸲	火召 hv
𪸳	火招 hv
𪸴	火奇 hq
𪸵	火武 hw
𪸶	火戔 hj
𪸸	火典 hd
𪸹	火彡 hp
𪸺	火昂 ha
𪸼	火周 hv
𪸿	享灬 xh
𪹀	火𰀁 hf｜灾𰀁 zf
𪹁	火孟 hm
𪹃	火邵 hu｜邵火 uh
𪹄	火心 hx
𪹅	火耐 hn
𪹇	火炭 ht
𪹈	火正 hv
𪹉	刍灬 ih
𪹊	火俞 hy
𪹋	火禹 hy
𪹌	火勹 hg
𪹍	火大 hd｜火侯 hh
𪹏	火美 hm
𪹑	召炎 vy
𪹒	火日 ho
𪹕	日灬 oh
𪹖	火攵 hw
𪹗	火舀 hy｜舀火 yh
𪹚	火旁 hp
𪹛	火朔 hu
𪹜	火庫 hk
𪹝	炎火 yh｜火二 he
𪹠	火难 hn
𪹡	火彬 hb
𪹢	火夊 hw
𪹣	火虚 hx
𪹤	火殺 hu
𪹥	火祭 hj
𪹦	米灬 mh
𪹧	火古 hg
𪹩	幺灬 yh
𪹪	火惡 he
𪹫	火彭 hp
𪹬	口灬 kh
𪹭	貼灬 th
𪹮	毳灬 ch
𪹯	火集 hj
𪹰	炆隹 wv
𪹱	享灬 xh
𪹳	火属 hu
𪹴	火月 ho
𪹸	鉢灬 bh
𪹹	火阘 hd
𪹻	火木 hm
𪹼	火恭 hg
𪹽	火奇 hq
𪹾	火察 hi
𪹿	賓灬 bh
𪺀	火翠 hc
𪺁	火賣 hm
𪺂	火木 hm｜木火 mh
𪺃	炮堂 pt
𪺄	火即 hj
𪺆	火郎 hl
𪺋	禾灬 hh
𪺌	火墨 hm
𪺍	. vy
𪺎	爪兄 vx
𪺏	爫豕 vu
𪺑	爪長 vi
𪺒	爫夊 vw
𪺔	丿角 pj
𪺕	爫幺 vy
𪺗	争完 vw
𪺙	爫甫 vf
𪺚	爫魚 vy
𪺛	父缶 ff
𪺜	父即 fj
𪺝	爻牛 yn
𪺞	爿言 py
𪺟	爿甾 pz
𪺠	爿心 px
𪺣	片寿 pu
𪺥	片念 pn
𪺧	牙夬 yg
𪺩	牛七 nq
𪺪	牛龙 nl
𪺫	牛奶 nn
𪺭	牛乔 nq
𪺮	牛冖 nb｜厶牛 sn
𪺰	牛皿 nm
𪺱	牛冉 nr
𪺲	牛冉 nr
𪺳	牛人 nr｜禾牛 hn
𪺴	牛目 no
𪺶	牛薛 nx｜薛牛 xn
𪺷	犭仓 qc
